Unnamed: 0,id,tipo,titulo,calle,barrio,distrito,ciudad,area,precio,precio_por_metro,caracteristicas,habitaciones,baños,referencia,anunciante,nombre_anunciante,ultima_actualizacion,tlf,url
2121,103774064,venta,Ático en venta en calle Delicias,Calle Delicias,Puente Tocinos,Pedanías Este,Murcia,"
Murcia, Murcia
",169.900€,1.338 €/m²,"['127 m² construidos, 115 m² útiles', '4 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 2007', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª', 'Con ascensor']",4 habitaciones,3 baños,009839,Profesional,Central Inmobiliaria,Anuncio actualizado el 8 de agosto,34868350726,https://www.idealista.com/inmueble/103774064/
2122,105691996,venta,"Piso en venta en calle Palmeral, 31","Calle Palmeral, 31",Torreagüera,Pedanías Este,Murcia,"
Murcia, Murcia
",88.703€,1.137 €/m²,"['78 m² construidos, 70 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 2ª exterior', 'Con ascensor']",3 habitaciones,2 baños,2ºE,Profesional,Open Club Inmogestión,Anuncio actualizado el 28 de agosto,34868350783,https://www.idealista.com/inmueble/105691996/
2123,104704110,venta,Dúplex en venta en calle Orilla de la Vía,Calle Orilla de la Vía,Santiago el Mayor,Sur,Murcia,"
Murcia, Murcia
",195.000€,1.612 €/m²,"['121 m² construidos', '3 habitaciones', '2 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 3ª exterior', 'Con ascensor']",3 habitaciones,2 baños,71,Profesional,Ivan Terramurcia,Anuncio actualizado el 23 de agosto,34868355460,https://www.idealista.com/inmueble/104704110/
2124,105824625,venta,"Piso en venta en avenida Don Juan de Borbón, 94","Avenida Don Juan de Borbón, 94",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",217.500€,2.500 €/m²,"['87 m² construidos, 70 m² útiles', '2 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual: Bomba de frío/calor', 'Planta 4ª exterior', 'Con ascensor']",2 habitaciones,2 baños,105824625,Particular,Miguel,Anuncio actualizado el 28 de agosto,34651111696,https://www.idealista.com/inmueble/105824625/
2125,103633305,venta,Piso en venta en Zona Juan de Borbón,Barrio Zona Juan de Borbón,Distrito Norte,Murcia,"Área de Murcia, Murcia",,269.000€,2.423 €/m²,"['111 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 2010', 'Calefacción individual', 'Planta 3ª exterior', 'Con ascensor']",3 habitaciones,2 baños,9419MJ,Profesional,Allure Inmuebles,Anuncio actualizado el 24 de junio,34868350343,https://www.idealista.com/inmueble/103633305/
2126,104138667,venta,Estudio en venta en calle san leandro,Calle san leandro,San Juan,Centro,Murcia,"
Murcia, Murcia
",82.500€,2.012 €/m²,"['41 m² construidos', 'Sin habitación', '1 baño', 'Segunda mano/buen estado', 'Orientación este', 'Construido en 1990', 'Planta 1ª exterior', 'Con ascensor']",Sin habitación,1 baño,277,Profesional,Inmobiliaria LA PROPIEDAD,Anuncio actualizado el 24 de agosto,34868350978,https://www.idealista.com/inmueble/104138667/
2127,105197312,venta,Chalet adosado en venta en calle el Profesor,Calle el Profesor,Garres y Lages,Pedanías Este,Murcia,"
Murcia, Murcia
",42.000€,298 €/m²,"[' Chalet adosado', '141 m² construidos, 117 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/para reformar', 'Construido en 1970']","141 m² construidos, 117 m² útiles",4 habitaciones,13347-12,Profesional,VIVANTIAL,Anuncio actualizado el 21 de agosto,34919387825,https://www.idealista.com/inmueble/105197312/
2128,105081785,venta,Chalet adosado en venta en Urbanización Torreguil s/n,Urbanización Torreguil s/n,Sangonera la Verde,Pedanías Oeste,Murcia,"
Murcia, Murcia
",260.000€,1.032 €/m²,"[' Chalet adosado', '1 planta', '252 m² construidos, 105 m² útiles', '3 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Promoción de obra nueva', 'Calefacción individual', 'Acceso y vivienda adaptados para personas con movilidad reducida']",1 planta,"252 m² construidos, 105 m² útiles",105081785,Profesional,INMO HOME SPAIN .,Anuncio actualizado el 23 de agosto,34868355318,https://www.idealista.com/inmueble/105081785/
2129,102004525,venta,Finca rústica en venta en Corvera,Barrio Corvera,Distrito Campo de Murcia,Murcia,"Área de Murcia, Murcia",,368.000€,526 €/m²,"[' Finca rústica', '1 planta', '700 m² construidos, 600 m² útiles', '5 habitaciones', '4 baños', 'Parcela de 11.000 m²', 'Chimenea', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1980', 'No dispone de calefacción']",1 planta,"700 m² construidos, 600 m² útiles",A-003,Profesional,Salvacasa,Anuncio actualizado el 18 de julio,34868350549,https://www.idealista.com/inmueble/102004525/
2130,103013442,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",266.025€,2.800 €/m²,"['95 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 3 1ºC,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013442/
2131,103013448,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",274.650€,2.803 €/m²,"['98 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 3 1ºA,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013448/
2132,103013516,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",214.320€,2.280 €/m²,"['94 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 5 1ºB,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013516/
2133,103013022,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",376.840€,2.812 €/m²,"['134 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 1ª exterior', 'Con ascensor']",3 habitaciones,2 baños,Esc 1 1ºE,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013022/
2134,103013018,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",283.015€,2.621 €/m²,"['108 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 1 1ºF,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013018/
2135,105583452,venta,Casa o chalet independiente en venta en Garres y Lages,Barrio Garres y Lages,Distrito Pedanías Este,Murcia,"Área de Murcia, Murcia",,110.000€,358 €/m²,"[' Casa o chalet independiente', '1 planta', '307 m² construidos, 127 m² útiles', '3 habitaciones', '2 baños', 'Parcela de 264 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Construido en 1950', 'No dispone de calefacción']",1 planta,"307 m² construidos, 127 m² útiles",RVC-0000156,Profesional,Remax Victory Consultance,Anuncio actualizado el 2 de agosto,34868350761,https://www.idealista.com/inmueble/105583452/
